,MCVA,MCVA_x,MCVA_y,GC,GC_x,GC_y,TS,x,y,LE,max_depth,learning_rate,n_estimators,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma
0,0.3891,0.3734,0.4048,0.4277,0.4766,0.4669,0.8682,1.1809,48.2596,237.6,5,0.114788216,180,5,0.732032684,0.668939814,3.505868559,0.404665857
1,0.3693,0.3662,0.3724,0.4496,0.4908,0.4913,0.8645,-0.8388,48.8113,120.249,5,0.074354125,109,3,0.902451466,0.999891744,1.57536487,0.675957518
2,0.3925,0.3364,0.4485,0.4204,0.5459,0.3812,0.8512,-1.0035,48.9234,121.418,4,0.13257711,276,5,0.74803581,0.906158854,3.613964374,0.406488219
3,0.36,0.3614,0.3587,0.4656,0.4809,0.5544,0.8543,-0.3441,47.8123,126.95,4,0.061371467,150,3,0.73843368,0.747727362,3.090757184,0.739404594
4,0.4002,0.3501,0.4503,0.4011,0.5256,0.3658,0.8521,0.4346,48.3849,184.585,4,0.152443289,260,6,0.802099568,0.877014275,4.507227359,0.566925769
5,0.3842,0.3495,0.4189,0.4319,0.5293,0.4257,0.871,-1.6933,47.9804,24.967,6,0.085680785,281,3,0.738253093,0.786098746,3.732626721,0.700462468
6,0.3762,0.3599,0.3925,0.4453,0.5108,0.4586,0.8658,-0.7371,48.4917,105.716,5,0.066448568,254,7,0.797619055,0.972160272,3.936124072,0.713245073
7,0.3744,0.3646,0.3843,0.4415,0.4942,0.4911,0.8577,-3.2778,47.9858,94.755,5,0.159486062,163,2,0.634632201,0.973123185,3.933175589,0.084656794
8,0.3835,0.3648,0.4021,0.4302,0.505,0.4302,0.8624,-2.1853,48.5283,53.91,5,0.16429894,298,5,0.764509003,0.910518867,2.107260493,0.229471205
9,0.375,0.3749,0.3751,0.4534,0.5023,0.5048,0.8726,0.0923,48.3273,158.556,6,0.056515657,182,6,0.691508106,0.757198881,4.948078941,0.370478852
10,0.3506,0.3018,0.3995,0.4654,0.6031,0.4475,0.8414,1.6042,46.9841,296.351,7,0.298284977,200,10,0.62812119,0.817630904,2.446773234,0.634332178
11,0.398,0.3791,0.4168,0.4168,0.5,0.4375,0.8695,-3.3371,47.4117,122.635,6,0.101849293,218,4,0.606168686,0.768965308,2.93145705,0.010533372
12,0.3691,0.3269,0.4113,0.4447,0.538,0.4518,0.8589,-0.9131,48.0768,81.407,5,0.165092527,145,5,0.60362972,0.857787575,1.796210449,0.952194766
13,0.3726,0.3229,0.4223,0.4377,0.5605,0.4014,0.8495,0.3635,48.3293,178.37,4,0.208080169,176,9,0.802379897,0.890368604,4.635480288,0.395129335
14,0.3857,0.3795,0.3918,0.4238,0.4725,0.448,0.8657,-1.2868,48.8635,104.175,5,0.091564272,293,9,0.732224828,0.943164025,2.073770422,0.144525525
15,0.3573,0.3636,0.3511,0.4685,0.4679,0.5787,0.8523,-0.3711,48.2823,123.944,4,0.076740667,132,6,0.616879949,0.617178354,4.478834495,0.530635781
16,0.3916,0.3768,0.4063,0.4251,0.5091,0.4233,0.8676,-1.6083,48.6434,71.49,8,0.118549943,166,7,0.805675217,0.998788324,4.478721697,0.430757391
17,0.3631,0.3661,0.3601,0.4592,0.483,0.5337,0.8504,-0.0134,48.4276,153.333,4,0.055890867,151,2,0.819737375,0.866744436,0.717941425,0.93375896
18,0.3556,0.3441,0.367,0.4547,0.5033,0.4825,0.8412,-0.9303,48.8437,118.123,4,0.259178864,113,6,0.999362659,0.99633764,0.873624373,0.560681936
19,0.3937,0.3739,0.4136,0.4189,0.4909,0.4461,0.8713,-0.2152,48.7777,154.64,7,0.094257025,287,6,0.667703713,0.666812371,4.682782894,0.26502971
20,0.3751,0.3697,0.3804,0.4436,0.4841,0.492,0.8551,1.7201,48.7281,285.16,4,0.114996481,251,4,0.825394329,0.932100307,1.014443887,0.332495067
21,0.3786,0.3697,0.3875,0.4373,0.4836,0.4716,0.8621,-2.3903,47.4909,69.219,5,0.059395799,104,4,0.763034828,0.948840776,3.658953301,0.040164187
22,0.3811,0.3593,0.4029,0.4345,0.5034,0.4495,0.8605,-2.6409,48.0186,47.236,8,0.125573135,277,9,0.675467208,0.952461193,4.916750554,0.649544293
23,0.3864,0.3283,0.4445,0.4215,0.5274,0.4002,0.8452,-1.6368,49.7278,187.648,4,0.183907398,205,6,0.638081718,0.948696511,2.634786502,0.468277445
24,0.3756,0.3608,0.3904,0.4342,0.4993,0.4381,0.8587,-2.2313,48.1735,20.952,5,0.180123021,70,5,0.979855162,0.897705694,4.385666329,0.867396305
25,0.3729,0.339,0.4068,0.4433,0.5342,0.4439,0.8628,0.0678,47.2129,181.729,5,0.091644568,187,3,0.593100281,0.99999077,3.923494332,0.320298175
26,0.381,0.3827,0.3793,0.4367,0.4634,0.5107,0.866,-1.2867,48.0823,53.685,5,0.071961449,100,6,0.844743429,0.643339931,3.709384341,0.657054605
27,0.3795,0.3612,0.3978,0.4363,0.4964,0.4533,0.8681,0.0371,48.591,162.418,5,0.065519464,230,4,0.742501181,0.812718825,1.889054068,0.368595064
28,0.3808,0.3739,0.3876,0.4371,0.4988,0.4802,0.877,0.213,48.1495,165.249,7,0.068231171,168,4,0.671890213,0.85801174,4.636155614,0.092739738
29,0.3793,0.3482,0.4105,0.4374,0.512,0.4398,0.8663,-0.5331,47.6983,117.062,8,0.144319241,160,5,0.691215445,0.685016337,1.179798075,0.254638414
30,0.3739,0.3281,0.4197,0.4393,0.5728,0.4124,0.8427,0.8154,47.4312,222.323,8,0.299423424,146,8,0.614029524,0.981636094,3.359092334,0.513456572
31,0.3783,0.3544,0.4023,0.4363,0.5309,0.4548,0.853,0.2999,48.0273,171.625,7,0.24104618,262,3,0.63782919,0.748907334,2.047452846,0.057467016
32,0.3885,0.3592,0.4178,0.4175,0.5244,0.4167,0.8455,-1.9413,49.368,145.748,6,0.280505176,168,6,0.582387996,0.83357461,3.160224875,0.627938101
33,0.3933,0.362,0.4245,0.4197,0.4979,0.4381,0.858,-0.5622,47.9128,108.829,7,0.191600291,153,4,0.611118571,0.988286961,4.608956621,0.768117777
34,0.3765,0.3564,0.3965,0.4445,0.5045,0.4791,0.869,-1.2126,48.6353,87.055,8,0.103080864,155,9,0.602825288,0.690161846,4.578263175,0.049824372
35,0.3926,0.3774,0.4079,0.4196,0.4852,0.4272,0.8678,-0.9174,48.0267,81.175,5,0.054587214,281,6,0.999815873,0.907370287,3.795548932,0.142019666
36,0.3758,0.3175,0.4342,0.4394,0.5912,0.4051,0.8511,-0.3547,46.75,191.409,6,0.2228979,149,3,0.61680213,0.995109864,2.645861017,0.595416542
37,0.3895,0.3342,0.4448,0.4124,0.5275,0.415,0.8456,0.6556,47.4363,210.816,4,0.208918665,289,10,0.555670403,0.903785857,3.103630877,0.291556494
38,0.3902,0.346,0.4345,0.4191,0.5179,0.4072,0.8658,0.399,47.8161,181.329,5,0.103736664,190,4,0.699991021,0.600036817,4.011466769,0.379346331
39,0.3713,0.325,0.4177,0.4415,0.5297,0.4655,0.8373,-0.0734,48.7608,162.794,3,0.288041956,275,7,0.853598754,0.954192823,4.029832939,0.590039459
40,0.3727,0.381,0.3644,0.4375,0.4598,0.5017,0.8559,-0.0893,49.1545,186.466,8,0.224575659,290,6,0.599097229,0.82600907,4.928647789,0.989759689
41,0.3896,0.3833,0.3959,0.4255,0.4864,0.4483,0.8697,0.0249,47.4063,168.439,5,0.068124741,267,6,0.887413143,0.930459654,2.944217681,0.193039811
42,0.3743,0.3531,0.3955,0.4369,0.4994,0.4666,0.8568,0.2182,48.4479,170.445,4,0.127601481,266,8,0.816739011,0.93507833,4.892638902,0.587828726
43,0.3755,0.3631,0.388,0.446,0.5055,0.4873,0.8663,0.1162,48.5637,166.869,5,0.100181352,298,9,0.745570693,0.770191235,4.402305377,0.611140784
44,0.3888,0.362,0.4156,0.421,0.4883,0.4385,0.8582,-1.2784,47.3256,98.065,4,0.050838924,250,2,0.761021342,0.981776059,2.364541877,0.166737585
45,0.3757,0.3847,0.3668,0.4326,0.4669,0.5014,0.8458,0.8738,48.1313,214.188,5,0.185722695,97,9,0.581359987,0.901512541,1.390109064,0.152341741
46,0.3795,0.3719,0.3871,0.4305,0.4701,0.4817,0.8452,0.1866,47.2017,190.039,6,0.288367245,192,8,0.732462041,0.594899868,4.86688225,0.883525067
47,0.3931,0.3719,0.4143,0.4239,0.5039,0.4658,0.8668,-1.9744,47.9157,16.023,6,0.1723221,169,6,0.726998444,0.624017651,2.840262107,0.573647772
48,0.3741,0.357,0.3913,0.4538,0.5364,0.4768,0.8691,-2.3078,48.7065,75.426,7,0.069710578,184,6,0.557112647,0.908931156,3.022600866,0.262161665
49,0.3771,0.3524,0.4018,0.4365,0.529,0.4324,0.8672,-2.5677,47.8148,49.678,5,0.123478937,218,4,0.925578999,0.893290025,3.872691662,0.339009067
